sample_idx,time_ns,A_hex,B_hex,Cin,Sum_hex,Cout,Expected_total_hex,Match
222,2222000,08e1,8d29,1,960b,0,0960b,1
223,2232000,5ecc,7aab,0,d977,0,0d977,1
224,2242000,b142,e3b5,1,94f8,1,194f8,1
225,2252000,6e80,d979,1,47fa,1,147fa,1
226,2262000,03d2,dced,0,e0bf,0,0e0bf,1
227,2272000,551a,2afe,0,8018,0,08018,1
228,2282000,428d,6308,1,a596,0,0a596,1
229,2292000,131c,ccf1,0,e00d,0,0e00d,1
230,2302000,0c82,365b,0,42dd,0,042dd,1
231,2312000,4721,1a66,1,6188,0,06188,1
232,2322000,d945,36eb,1,1031,1,11031,1
233,2332000,a86d,2b15,0,d382,0,0d382,1
234,2342000,0b44,50de,0,5c22,0,05c22,1
235,2352000,5ebb,71e4,1,d0a0,0,0d0a0,1
236,2362000,973f,d548,1,6c88,1,16c88,1
237,2372000,c156,99ba,1,5b11,1,15b11,1
238,2382000,3ff2,69ad,1,a9a0,0,0a9a0,1
239,2392000,e32f,7466,1,5796,1,15796,1
240,2402000,bc62,0487,1,c0ea,0,0c0ea,1
241,2412000,6160,7bc8,0,dd28,0,0dd28,1
242,2422000,08ae,666f,1,6f1e,0,06f1e,1
243,2432000,67df,f6bc,0,5e9b,1,15e9b,1
244,2442000,7eda,d877,1,5752,1,15752,1
245,2452000,3c3d,a402,0,e03f,0,0e03f,1
246,2462000,fcd1,4aad,1,477f,1,1477f,1
247,2472000,1f2e,369e,0,55cc,0,055cc,1
248,2482000,2ef6,9589,1,c480,0,0c480,1
249,2492000,8b62,b3d1,0,3f33,1,13f33,1
250,2502000,c11e,f383,1,b4a2,1,1b4a2,1
251,2512000,ddc3,4c02,1,29c6,1,129c6,1
252,2522000,a2f8,d022,1,731b,1,1731b,1
253,2532000,c7e3,78b7,1,409b,1,1409b,1
254,2542000,198f,fed3,0,1862,1,11862,1
255,2552000,6c7f,3b67,0,a7e6,0,0a7e6,1
256,2562000,e9bb,9404,1,7dc0,1,17dc0,1
257,2572000,7918,4a22,1,c33b,0,0c33b,1
258,2582000,5605,20d0,1,76d6,0,076d6,1
259,2592000,74e9,8665,0,fb4e,0,0fb4e,1
260,2602000,c005,ed05,0,ad0a,1,1ad0a,1
261,2612000,8b18,895c,1,1475,1,11475,1
262,2622000,7b1c,ca18,1,4535,1,14535,1
263,2632000,05ec,6623,0,6c0f,0,06c0f,1
264,2642000,607d,6d58,1,cdd6,0,0cdd6,1
265,2652000,9444,6d15,0,0159,1,10159,1
266,2662000,874e,414d,1,c89c,0,0c89c,1
267,2672000,3c97,a96c,0,e603,0,0e603,1
268,2682000,1b48,ab8d,1,c6d6,0,0c6d6,1
269,2692000,2831,8f9b,1,b7cd,0,0b7cd,1
270,2702000,ee17,d6b2,1,c4ca,1,1c4ca,1
271,2712000,1569,e522,0,fa8b,0,0fa8b,1
272,2722000,a013,d2d1,0,72e4,1,172e4,1
273,2732000,fb8b,cd19,1,c8a5,1,1c8a5,1
274,2742000,e9ec,5096,1,3a83,1,13a83,1
275,2752000,dbec,b825,1,9412,1,19412,1
276,2762000,b5c5,ebb7,0,a17c,1,1a17c,1
277,2772000,a196,22a8,0,c43e,0,0c43e,1
278,2782000,09db,b9df,1,c3bb,0,0c3bb,1
279,2792000,066b,56d0,0,5d3b,0,05d3b,1
280,2802000,ebdb,0a4a,1,f626,0,0f626,1
281,2812000,6052,7b18,0,db6a,0,0db6a,1
282,2822000,77fa,863e,0,fe38,0,0fe38,1
283,2832000,a42c,42e1,1,e70e,0,0e70e,1
284,2842000,601f,3e0d,1,9e2d,0,09e2d,1
285,2852000,1d8f,f0d1,1,0e61,1,10e61,1
286,2862000,e96d,9ec1,1,882f,1,1882f,1
287,2872000,997e,21f4,1,bb73,0,0bb73,1
288,2882000,bd9f,1ac7,0,d866,0,0d866,1
289,2892000,3846,fac6,1,330d,1,1330d,1
290,2902000,f048,94bb,1,8504,1,18504,1
291,2912000,efdb,6ccf,1,5cab,1,15cab,1
292,2922000,db6e,e0ea,0,bc58,1,1bc58,1
293,2932000,558b,60b5,0,b640,0,0b640,1
294,2942000,714c,662e,1,d77b,0,0d77b,1
295,2952000,1f06,021a,1,2121,0,02121,1
296,2962000,953e,503e,1,e57d,0,0e57d,1
297,2972000,080c,78a8,0,80b4,0,080b4,1
298,2982000,cc3f,1b4c,0,e78b,0,0e78b,1
299,2992000,2dd1,100e,0,3ddf,0,03ddf,1
300,3002000,ca3d,8933,0,5370,1,15370,1
301,3012000,b531,d9f7,1,8f29,1,18f29,1
302,3022000,7a70,af2c,1,299d,1,1299d,1
303,3032000,27b0,000d,1,27be,0,027be,1
304,3042000,c093,6103,1,2197,1,12197,1
305,3052000,6d97,d36f,0,4106,1,14106,1
306,3062000,168a,8bef,0,a279,0,0a279,1
307,3072000,56d9,a287,0,f960,0,0f960,1
308,3082000,32d5,c5cb,1,f8a1,0,0f8a1,1
309,3092000,ed20,1398,1,00b9,1,100b9,1
310,3102000,e65a,11e5,1,f840,0,0f840,1
311,3112000,e61a,849c,1,6ab7,1,16ab7,1
312,3122000,2d77,9385,1,c0fd,0,0c0fd,1
313,3132000,612c,212d,0,8259,0,08259,1
314,3142000,6155,df80,1,40d6,1,140d6,1
315,3152000,5b00,7631,0,d131,0,0d131,1
316,3162000,f610,c894,1,bea5,1,1bea5,1
317,3172000,87c6,d00a,0,57d0,1,157d0,1
318,3182000,f65f,35af,1,2c0f,1,12c0f,1
319,3192000,ebce,2401,1,0fd0,1,10fd0,1
320,3202000,b5ae,f0b5,1,a664,1,1a664,1
321,3212000,e278,1a09,0,fc81,0,0fc81,1
322,3222000,6301,8ba2,0,eea3,0,0eea3,1
323,3232000,269f,ff56,1,25f6,1,125f6,1
324,3242000,6400,c4da,1,28db,1,128db,1
325,3252000,d75f,aa4d,1,81ad,1,181ad,1
326,3262000,c2b5,e802,1,aab8,1,1aab8,1
327,3272000,c446,ab05,1,6f4c,1,16f4c,1
328,3282000,b850,1309,0,cb59,0,0cb59,1
329,3292000,a101,3664,0,d765,0,0d765,1
330,3302000,8b49,a6d2,0,321b,1,1321b,1
331,3312000,b664,8956,0,3fba,1,13fba,1
332,3322000,5eea,109e,1,6f89,0,06f89,1
333,3332000,81c2,d4ba,1,567d,1,1567d,1
334,3342000,a8f0,1a24,1,c315,0,0c315,1
335,3352000,ad85,ffd1,1,ad57,1,1ad57,1
336,3362000,4367,8458,1,c7c0,0,0c7c0,1
337,3372000,9634,c5d7,0,5c0b,1,15c0b,1
338,3382000,2ca7,d8fc,1,05a4,1,105a4,1
339,3392000,9a4d,8ed4,1,2922,1,12922,1
340,3402000,9f85,b953,0,58d8,1,158d8,1
341,3412000,be25,c0db,1,7f01,1,17f01,1
342,3422000,5da8,2b52,1,88fb,0,088fb,1
343,3432000,a6e1,dc09,0,82ea,1,182ea,1
344,3442000,5421,fab0,1,4ed2,1,14ed2,1
345,3452000,34c4,c747,0,fc0b,0,0fc0b,1
346,3462000,e5ce,8d38,0,7306,1,17306,1
347,3472000,6acc,be7c,1,2949,1,12949,1
348,3482000,9087,9b29,0,2bb0,1,12bb0,1
349,3492000,c6d9,bbeb,1,82c5,1,182c5,1
350,3502000,8cb5,84ef,1,11a5,1,111a5,1
351,3512000,53b2,ee20,1,41d3,1,141d3,1
352,3522000,adbd,5144,1,ff02,0,0ff02,1
353,3532000,6147,ee42,0,4f89,1,14f89,1
354,3542000,22a7,33e7,1,568f,0,0568f,1
355,3552000,63d7,e5ac,1,4984,1,14984,1
356,3562000,0eae,ed87,0,fc35,0,0fc35,1
357,3572000,0f5b,0845,0,17a0,0,017a0,1
358,3582000,d8ab,2e70,0,071b,1,1071b,1
359,3592000,781e,3519,0,ad37,0,0ad37,1
360,3602000,b2b6,5cf3,1,0faa,1,10faa,1
361,3612000,dd23,d00e,1,ad32,1,1ad32,1
362,3622000,bad1,e590,1,a062,1,1a062,1
363,3632000,4727,c19e,0,08c5,1,108c5,1
364,3642000,00d4,dcf0,1,ddc5,0,0ddc5,1
365,3652000,ee7f,2fe4,0,1e63,1,11e63,1
366,3662000,9184,57dd,1,e962,0,0e962,1
367,3672000,5bb4,5b43,0,b6f7,0,0b6f7,1
368,3682000,50db,1d2c,0,6e07,0,06e07,1
369,3692000,54d7,9260,1,e738,0,0e738,1
370,3702000,2fb2,3ee6,1,6e99,0,06e99,1
371,3712000,1a8f,662f,1,80bf,0,080bf,1
372,3722000,1de1,561b,0,73fc,0,073fc,1
373,3732000,27cf,8bde,0,b3ad,0,0b3ad,1
374,3742000,9202,c88d,1,5a90,1,15a90,1
375,3752000,2366,51ae,1,7515,0,07515,1
376,3762000,a804,8000,1,2805,1,12805,1
377,3772000,5bcb,54e0,1,b0ac,0,0b0ac,1
378,3782000,8e29,f689,1,84b3,1,184b3,1
379,3792000,b30a,eb14,0,9e1e,1,19e1e,1
380,3802000,e0a9,7aed,1,5b97,1,15b97,1
381,3812000,41f6,1b97,0,5d8d,0,05d8d,1
382,3822000,a5d6,8817,0,2ded,1,12ded,1
383,3832000,49b5,dd5b,0,2710,1,12710,1
384,3842000,e5b6,9f7f,0,8535,1,18535,1
385,3852000,05ba,ef09,1,f4c4,0,0f4c4,1
386,3862000,b3cb,1bd5,0,cfa0,0,0cfa0,1
387,3872000,7385,f12c,0,64b1,1,164b1,1
388,3882000,68e5,aaa5,0,138a,1,1138a,1
389,3892000,03fb,6a2c,0,6e27,0,06e27,1
390,3902000,f031,81f8,1,722a,1,1722a,1
391,3912000,04a1,8a5f,0,8f00,0,08f00,1
392,3922000,bc30,f76d,1,b39e,1,1b39e,1
393,3932000,c38d,de71,0,a1fe,1,1a1fe,1
394,3942000,beec,c570,1,845d,1,1845d,1
395,3952000,d24c,0c47,0,de93,0,0de93,1
396,3962000,aa9d,5a39,0,04d6,1,104d6,1
397,3972000,4d6b,54b5,0,a220,0,0a220,1
398,3982000,5609,9efc,1,f506,0,0f506,1
399,3992000,9177,e803,1,797b,1,1797b,1
400,4002000,f7f0,05e4,0,fdd4,0,0fdd4,1
401,4012000,24e5,9e6c,0,c351,0,0c351,1
402,4022000,c409,87b6,0,4bbf,1,14bbf,1
403,4032000,ddcc,a9d9,0,87a5,1,187a5,1
404,4042000,b726,1ba5,1,d2cc,0,0d2cc,1
405,4052000,d8c8,a1c2,1,7a8b,1,17a8b,1
406,4062000,e374,b382,0,96f6,1,196f6,1
407,4072000,b684,18f6,0,cf7a,0,0cf7a,1
408,4082000,fd3b,eec2,1,ebfe,1,1ebfe,1
409,4092000,4ea2,e603,1,34a6,1,134a6,1
410,4102000,d5ab,879a,0,5d45,1,15d45,1
411,4112000,9400,de59,1,725a,1,1725a,1
412,4122000,134b,25e1,0,392c,0,0392c,1
413,4132000,a4d4,4441,1,e916,0,0e916,1
414,4142000,4d17,a8fa,1,f612,0,0f612,1
415,4152000,f545,bfef,0,b534,1,1b534,1
416,4162000,f915,5b35,1,544b,1,1544b,1
417,4172000,1cdc,5bb3,0,788f,0,0788f,1
418,4182000,199c,730f,1,8cac,0,08cac,1
419,4192000,ef23,f433,1,e357,1,1e357,1
420,4202000,152f,25cd,1,3afd,0,03afd,1
421,4212000,6210,fde4,0,5ff4,1,15ff4,1
422,4222000,6905,f242,1,5b48,1,15b48,1
423,4232000,afaf,6a40,0,19ef,1,119ef,1
424,4242000,8392,c414,1,47a7,1,147a7,1
425,4252000,19ff,551e,0,6f1d,0,06f1d,1
426,4262000,1481,3c64,1,50e6,0,050e6,1
427,4272000,6764,057a,1,6cdf,0,06cdf,1
428,4282000,0503,d73a,0,dc3d,0,0dc3d,1
429,4292000,600d,4f4e,1,af5c,0,0af5c,1
430,4302000,383d,b9f5,0,f232,0,0f232,1
431,4312000,ff12,3985,1,3898,1,13898,1
432,4322000,4b37,9174,1,dcac,0,0dcac,1
433,4332000,0b77,3a67,1,45df,0,045df,1
434,4342000,26f8,6994,1,908d,0,0908d,1
435,4352000,3cd9,0455,1,412f,0,0412f,1
436,4362000,1fbb,eb84,0,0b3f,1,10b3f,1
437,4372000,f3ac,a3c3,1,9770,1,19770,1
438,4382000,854e,376e,0,bcbc,0,0bcbc,1
439,4392000,e04c,1d8d,1,fdda,0,0fdda,1
440,4402000,b70f,3e53,0,f562,0,0f562,1
441,4412000,273f,61d4,1,8914,0,08914,1
442,4422000,973c,3a97,0,d1d3,0,0d1d3,1
443,4432000,f466,6667,0,5acd,1,15acd,1
444,4442000,6084,e6df,1,4764,1,14764,1
445,4452000,94a2,840c,1,18af,1,118af,1
446,4462000,99db,178d,0,b168,0,0b168,1
447,4472000,deb2,e7a0,1,c653,1,1c653,1
448,4482000,302e,4e7c,0,7eaa,0,07eaa,1
449,4492000,e938,db82,0,c4ba,1,1c4ba,1
450,4502000,5810,f5a2,1,4db3,1,14db3,1
451,4512000,d65d,d907,1,af65,1,1af65,1
452,4522000,10a2,d0fc,0,e19e,0,0e19e,1
453,4532000,826f,3a9d,1,bd0d,0,0bd0d,1
454,4542000,f9d0,be53,1,b824,1,1b824,1
455,4552000,184d,abb2,0,c3ff,0,0c3ff,1
456,4562000,0604,c88c,0,ce90,0,0ce90,1
457,4572000,11af,fe9e,0,104d,1,1104d,1
458,4582000,3389,66da,0,9a63,0,09a63,1
459,4592000,ac79,890d,1,3587,1,13587,1
460,4602000,8cdd,6937,1,f615,0,0f615,1
461,4612000,8268,691f,1,eb88,0,0eb88,1
462,4622000,1cdc,d693,1,f370,0,0f370,1
463,4632000,3d3e,a317,1,e056,0,0e056,1
464,4642000,24ba,f4db,0,1995,1,11995,1
465,4652000,0c38,a220,0,ae58,0,0ae58,1
466,4662000,f9bc,386a,1,3227,1,13227,1
467,4672000,3494,011e,0,35b2,0,035b2,1
468,4682000,599c,32ec,0,8c88,0,08c88,1
469,4692000,80d4,1c62,0,9d36,0,09d36,1
470,4702000,e80d,7b0d,0,631a,1,1631a,1
471,4712000,36f2,723b,1,a92e,0,0a92e,1
472,4722000,f5db,3892,1,2e6e,1,12e6e,1
473,4732000,984d,7c18,0,1465,1,11465,1
474,4742000,0662,1845,1,1ea8,0,01ea8,1
475,4752000,a49d,7e75,0,2312,1,12312,1
476,4762000,2ac9,abfa,0,d6c3,0,0d6c3,1
477,4772000,1edd,b1aa,1,d088,0,0d088,1
478,4782000,6afd,6aac,1,d5aa,0,0d5aa,1
479,4792000,db60,b3e4,0,8f44,1,18f44,1
480,4802000,412a,882f,0,c959,0,0c959,1
481,4812000,dbe7,7700,0,52e7,1,152e7,1
482,4822000,fc63,7c14,1,7878,1,17878,1
483,4832000,e8c9,40ef,1,29b9,1,129b9,1
484,4842000,938c,5f70,1,f2fd,0,0f2fd,1
485,4852000,f4d8,d4f7,0,c9cf,1,1c9cf,1
486,4862000,8332,dd59,1,608c,1,1608c,1
487,4872000,9cd7,7c72,0,1949,1,11949,1
488,4882000,0145,e52a,1,e670,0,0e670,1
489,4892000,3399,708c,0,a425,0,0a425,1
490,4902000,316b,6236,1,93a2,0,093a2,1
491,4912000,d429,2460,0,f889,0,0f889,1
492,4922000,e906,2939,0,123f,1,1123f,1
493,4932000,f39b,5a7e,1,4e1a,1,14e1a,1
494,4942000,4ec8,5b13,0,a9db,0,0a9db,1
495,4952000,4831,1943,1,6175,0,06175,1
496,4962000,ad7d,6b1f,1,189d,1,1189d,1
497,4972000,c3dd,303a,1,f418,0,0f418,1
